Energy (in eV), backscattering yield of material al2k-NASCAP at incidence 60.0 degree
   X,       Y
11200.0, 0.38453406
11210.0, 0.3845064
11220.0, 0.3844788
11230.0, 0.38445124
11240.0, 0.38442373
11250.0, 0.38439628
11260.0, 0.3843689
11270.0, 0.38434157
11280.0, 0.38431427
11290.0, 0.38428703
11300.0, 0.38425985
11310.0, 0.38423273
11320.0, 0.38420564
11330.0, 0.38417864
11340.0, 0.38415164
11350.0, 0.38412473
11360.0, 0.38409787
11370.0, 0.38407102
11380.0, 0.38404426
11390.0, 0.38401756
11400.0, 0.38399088
11410.0, 0.3839643
11420.0, 0.38393772
11430.0, 0.38391122
11440.0, 0.38388476
11450.0, 0.38385835
11460.0, 0.38383198
11470.0, 0.3838057
11480.0, 0.38377944
11490.0, 0.38375324
11500.0, 0.38372707
