Energy (in eV), backscattering yield of material CFRP-NASCAP at isotropic incidence
   X,       Y
10320.0, 0.2281522
10330.0, 0.22811612
10340.0, 0.22808012
10350.0, 0.22804418
10360.0, 0.22800829
10370.0, 0.22797251
10380.0, 0.22793676
10390.0, 0.22790107
10400.0, 0.22786547
10410.0, 0.22782995
10420.0, 0.22779447
10430.0, 0.22775908
10440.0, 0.22772373
10450.0, 0.22768848
10460.0, 0.22765326
10470.0, 0.22761813
10480.0, 0.22758307
10490.0, 0.22754806
10500.0, 0.22751312
10510.0, 0.22747825
10520.0, 0.22744343
10530.0, 0.2274087
10540.0, 0.22737402
10550.0, 0.22733942
10560.0, 0.22730489
10570.0, 0.2272704
10580.0, 0.22723599
10590.0, 0.22720164
10600.0, 0.22716735
10610.0, 0.22713315
10620.0, 0.22709899
10630.0, 0.2270649
10640.0, 0.22703089
10650.0, 0.22699691
10660.0, 0.22696303
10670.0, 0.22692919
10680.0, 0.22689544
10690.0, 0.22686173
10700.0, 0.22682808
10710.0, 0.22679451
10720.0, 0.226761
10730.0, 0.22672755
10740.0, 0.22669417
10750.0, 0.22666085
10760.0, 0.22662759
10770.0, 0.22659439
10780.0, 0.22656126
10790.0, 0.22652818
10800.0, 0.22649519
10810.0, 0.22646223
10820.0, 0.22642936
10830.0, 0.22639653
10840.0, 0.22636376
10850.0, 0.22633108
10860.0, 0.22629845
10870.0, 0.22626586
10880.0, 0.22623336
10890.0, 0.22620091
10900.0, 0.22616853
10910.0, 0.22613621
10920.0, 0.22610393
10930.0, 0.22607173
10940.0, 0.2260396
10950.0, 0.2260075
10960.0, 0.22597548
10970.0, 0.22594352
10980.0, 0.22591163
10990.0, 0.22587979
11000.0, 0.22584802
11010.0, 0.22581631
11020.0, 0.22578463
11030.0, 0.22575304
11040.0, 0.2257215
11050.0, 0.22569002
11060.0, 0.22565863
11070.0, 0.22562727
11080.0, 0.22559597
11090.0, 0.22556472
11100.0, 0.22553353
11110.0, 0.22550242
11120.0, 0.22547136
11130.0, 0.22544035
11140.0, 0.22540942
11150.0, 0.22537851
11160.0, 0.22534771
11170.0, 0.22531694
11180.0, 0.22528622
11190.0, 0.2252556
11200.0, 0.22522497
11210.0, 0.22519444
11220.0, 0.22516397
11230.0, 0.22513357
11240.0, 0.22510321
11250.0, 0.2250729
11260.0, 0.22504266
11270.0, 0.22501247
11280.0, 0.22498232
11290.0, 0.22495227
11300.0, 0.22492225
11310.0, 0.22489229
11320.0, 0.2248624
11330.0, 0.22483255
11340.0, 0.22480276
11350.0, 0.22477303
11360.0, 0.22474335
11370.0, 0.22471374
11380.0, 0.22468418
11390.0, 0.22465467
11400.0, 0.22462524
11410.0, 0.22459583
11420.0, 0.2245665
11430.0, 0.22453721
11440.0, 0.224508
11450.0, 0.22447883
11460.0, 0.22444972
11470.0, 0.22442065
11480.0, 0.22439165
11490.0, 0.22436272
11500.0, 0.22433382
11510.0, 0.22430497
11520.0, 0.2242762
