Energy (in eV), SEEE yield of material CFRP-NASCAP at isotropic incidence
   X,       Y
10360.0, 0.26486638
10370.0, 0.2646739
10380.0, 0.2644817
10390.0, 0.2642897
10400.0, 0.26409814
10410.0, 0.2639068
10420.0, 0.26371574
10430.0, 0.26352504
10440.0, 0.26333457
10450.0, 0.26314446
10460.0, 0.26295465
10470.0, 0.26276508
10480.0, 0.2625758
10490.0, 0.26238683
10500.0, 0.26219815
10510.0, 0.26200977
10520.0, 0.26182163
10530.0, 0.26163384
10540.0, 0.26144633
10550.0, 0.26125908
10560.0, 0.2610721
10570.0, 0.26088545
10580.0, 0.26069903
10590.0, 0.26051295
10600.0, 0.26032713
10610.0, 0.2601416
10620.0, 0.25995636
10630.0, 0.2597714
10640.0, 0.2595867
10650.0, 0.25940228
10660.0, 0.2592182
10670.0, 0.2590343
10680.0, 0.25885072
10690.0, 0.25866744
10700.0, 0.25848442
10710.0, 0.25830168
10720.0, 0.25811923
10730.0, 0.25793707
10740.0, 0.25775516
10750.0, 0.2575735
10760.0, 0.25739214
10770.0, 0.25721103
10780.0, 0.2570302
10790.0, 0.25684965
10800.0, 0.2566694
10810.0, 0.25648937
10820.0, 0.25630963
10830.0, 0.25613013
10840.0, 0.25595093
10850.0, 0.25577202
10860.0, 0.2555933
10870.0, 0.25541493
10880.0, 0.2552368
10890.0, 0.25505888
10900.0, 0.2548813
10910.0, 0.25470397
10920.0, 0.25452685
10930.0, 0.25435007
10940.0, 0.25417355
10950.0, 0.25399724
10960.0, 0.25382122
10970.0, 0.25364545
10980.0, 0.2534699
10990.0, 0.25329465
11000.0, 0.25311965
11010.0, 0.25294492
11020.0, 0.25277045
11030.0, 0.25259623
11040.0, 0.25242224
11050.0, 0.25224853
11060.0, 0.25207505
11070.0, 0.2519019
11080.0, 0.25172892
11090.0, 0.25155622
11100.0, 0.25138378
11110.0, 0.2512116
11120.0, 0.25103968
11130.0, 0.250868
11140.0, 0.25069654
11150.0, 0.25052536
11160.0, 0.25035444
11170.0, 0.25018373
11180.0, 0.2500133
11190.0, 0.24984314
11200.0, 0.24967313
11210.0, 0.24950346
11220.0, 0.24933401
11230.0, 0.24916478
11240.0, 0.24899586
11250.0, 0.24882713
11260.0, 0.24865863
11270.0, 0.24849041
11280.0, 0.24832244
11290.0, 0.24815468
11300.0, 0.2479872
11310.0, 0.24781993
11320.0, 0.2476529
11330.0, 0.24748613
11340.0, 0.24731958
11350.0, 0.24715327
11360.0, 0.24698725
11370.0, 0.24682142
11380.0, 0.24665584
11390.0, 0.24649046
11400.0, 0.24632537
11410.0, 0.24616048
11420.0, 0.24599583
11430.0, 0.24583143
11440.0, 0.24566725
11450.0, 0.24550332
11460.0, 0.24533959
11470.0, 0.24517615
11480.0, 0.2450129
11490.0, 0.24484989
11500.0, 0.24468713
11510.0, 0.24452454
11520.0, 0.24436222
