Energy (in eV), backscattering yield of material sc2k-NASCAP at incidence 10.0 degree
   X,       Y
10700.0, 0.12300582
10710.0, 0.12298191
10720.0, 0.12295805
10730.0, 0.12293424
10740.0, 0.12291046
10750.0, 0.12288675
10760.0, 0.12286308
10770.0, 0.12283944
10780.0, 0.12281587
10790.0, 0.12279233
10800.0, 0.12276885
10810.0, 0.12274542
10820.0, 0.12272202
10830.0, 0.12269868
10840.0, 0.12267538
10850.0, 0.12265213
10860.0, 0.12262893
10870.0, 0.12260576
10880.0, 0.122582644
10890.0, 0.122559585
10900.0, 0.12253656
10910.0, 0.12251359
10920.0, 0.12249066
10930.0, 0.12246777
10940.0, 0.122444935
10950.0, 0.12242215
10960.0, 0.122399405
10970.0, 0.122376695
10980.0, 0.122354046
10990.0, 0.12233143
11000.0, 0.122308865
11010.0, 0.12228635
11020.0, 0.12226387
11030.0, 0.12224144
11040.0, 0.12221905
11050.0, 0.12219671
11060.0, 0.12217442
11070.0, 0.122152165
11080.0, 0.122129954
11090.0, 0.1221078
11100.0, 0.12208567
11110.0, 0.1220636
11120.0, 0.12204157
11130.0, 0.12201958
11140.0, 0.12199764
11150.0, 0.12197574
11160.0, 0.12195388
11170.0, 0.12193207
11180.0, 0.1219103
11190.0, 0.12188858
11200.0, 0.12186689
11210.0, 0.12184526
11220.0, 0.12182365
11230.0, 0.12180211
11240.0, 0.1217806
11250.0, 0.12175913
11260.0, 0.12173771
11270.0, 0.12171633
11280.0, 0.12169499
11290.0, 0.121673696
11300.0, 0.12165244
11310.0, 0.121631235
11320.0, 0.12161006
11330.0, 0.12158894
11340.0, 0.121567845
11350.0, 0.121546805
11360.0, 0.12152581
11370.0, 0.12150485
11380.0, 0.12148393
11390.0, 0.12146306
11400.0, 0.12144223
11410.0, 0.121421434
11420.0, 0.12140069
11430.0, 0.12137998
11440.0, 0.12135931
11450.0, 0.12133869
11460.0, 0.121318094
11470.0, 0.12129755
11480.0, 0.12127705
11490.0, 0.12125659
